OBJECTID,TRACT,GEO,GEOID2,GEO_display_label,Population,Income,Home_value,No_car_percent,Bachelor_or_higher,Employment_percent,Marital_percent,Veterans_percent
50,7401,1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",2262,14566,256700,0.522,0.0789,0.407,0.064,0.028
51,7403,1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",3187,25761,254500,0.298,0.0972,0.61,0.134,0.04
52,7404,1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",4307,42439,341700,0.24,0.1625,0.632,0.181,0.035
53,7406,1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",3254,24688,261000,0.341,0.0792,0.499,0.127,0.046
54,7407,1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",3297,34410,266400,0.209,0.1901,0.633,0.095,0.035
55,7408,1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",3632,21728,321400,0.397,0.0675,0.392,0.109,0.042
56,7409,1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",4000,38107,248000,0.36,0.0786,0.619,0.116,0.014
57,7502,1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",5314,27003,267000,0.292,0.1318,0.503,0.148,0.043
106,7503,1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",2454,26250,333600,0.216,0.2161,0.567,0.191,0.068
107,7504,1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",2906,17077,338000,0.254,0.1144,0.515,0.189,0.046
123,7601,1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",4855,34840,264900,0.227,0.2099,0.66,0.203,0.04
124,7603,1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",4283,49435,,0.212,0.3148,0.491,0.179,0.118
125,7604,1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",4256,54338,415900,0.227,0.2534,0.693,0.211,0.069
126,7605,1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",3956,33659,245200,0.237,0.2104,0.614,0.195,0.047
127,7703,1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",6159,26020,251400,0.398,0.0444,0.58,0.211,0.044
128,7707,1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",4484,40995,277100,0.242,0.1478,0.524,0.242,0.048
129,7708,1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",3039,35488,232400,0.446,0.0164,0.584,0.153,0.055
130,7709,1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",2524,33750,308800,0.166,0.1893,0.588,0.235,0.101
131,7803,1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",4111,37203,269100,0.246,0.1647,0.644,0.199,0.085
132,7804,1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",4121,51065,280300,0.304,0.1746,0.557,0.113,0.022
133,7806,1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",2169,37981,316300,0.338,0.1646,0.582,0.204,0.055
141,7807,1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",2171,38438,262300,0.266,0.1335,0.597,0.199,0.054
142,7808,1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",3949,31714,247900,0.167,0.168,0.562,0.202,0.037
159,7809,1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",3521,47713,208100,0.182,0.1509,0.667,0.16,0.069
160,7901,1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",4078,51949,527900,0.198,0.3792,0.671,0.233,0.074
161,7903,1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",1971,80588,447000,0.116,0.4768,0.678,0.282,0.058
162,8001,1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",3125,139706,631900,0.066,0.7717,0.805,0.434,0.064
163,8002,1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",3470,116641,680000,0.106,0.7362,0.792,0.424,0.088
164,8100,1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",3286,143068,845200,0.135,0.8401,0.808,0.445,0.031
165,8200,1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",3056,115742,1013700,0.169,0.9167,0.781,0.379,0.031
166,8301,1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",2423,147989,841400,0.121,0.8817,0.794,0.443,0.082
167,8302,1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",2547,129167,805100,0.165,0.7823,0.763,0.348,0.059
168,8402,1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",2352,93011,632900,0.213,0.7564,0.803,0.228,0.032
169,8410,1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",1533,141563,664100,0.098,0.7216,0.847,0.325,0.052
143,8701,1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",2368,100333,588400,0.178,0.5702,0.773,0.145,0.047
144,8702,1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",2751,72292,436800,0.313,0.5618,0.761,0.231,0.055
145,8802,1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",4311,64810,552700,0.253,0.3824,0.664,0.219,0.074
146,8803,1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",2569,25774,325000,0.363,0.2711,0.465,0.084,0.037
39,8804,1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",2561,43922,402500,0.356,0.3044,0.576,0.124,0.059
40,8903,1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",3252,40605,327400,0.293,0.336,0.59,0.18,0.076
41,8904,1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",3680,33228,262500,0.331,0.1844,0.664,0.2,0.043
42,9000,1400000US11001009000,11001009000,"Census Tract 90, District of Columbia, District of Columbia",3523,38088,429200,0.064,0.401,0.542,0.233,0.065
43,9102,1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",5254,44217,356300,0.264,0.324,0.617,0.134,0.05
44,9201,1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",2718,84844,669600,0.223,0.6943,0.752,0.237,0.025
45,9203,1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",2808,70156,543600,0.216,0.4127,0.72,0.293,0.021
46,9204,1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",2918,26215,340200,0.521,0.1873,0.541,0.224,0.077
158,9301,1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",3468,94495,580900,0.049,0.5855,0.715,0.396,0.091
115,9302,1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",1279,71375,544400,0.313,0.41,0.714,0.413,0.044
170,9400,1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",4917,97804,539800,0.055,0.4209,0.667,0.373,0.074
171,9501,1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",7659,48395,365500,0.256,0.2856,0.582,0.191,0.025
172,9503,1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",3144,104603,492800,0.007,0.5546,0.585,0.454,0.082
173,9504,1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",3296,83690,442000,0.111,0.5055,0.617,0.302,0.053
174,9505,1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",2940,67112,437500,0.059,0.3883,0.661,0.375,0.085
175,9507,1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",1924,74375,331600,0.068,0.265,0.681,0.259,0.056
176,9508,1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",3691,56404,357400,0.11,0.3552,0.608,0.208,0.088
177,9509,1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",3314,64792,391400,0.086,0.3952,0.631,0.374,0.096
178,9601,1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",2567,29428,244100,0.241,0.1778,0.543,0.088,0.039
179,9602,1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",3675,24138,311400,0.55,0.06,0.588,0.059,0.025
136,9603,1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",3635,44229,227100,0.346,0.1213,0.613,0.161,0.051
137,9604,1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",2204,56010,202600,0.121,0.1917,0.616,0.259,0.074
138,9700,1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",3255,31771,265100,0.265,0.1149,0.57,0.173,0.072
139,9801,1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",2317,20513,229400,0.345,0.1373,0.588,0.119,0.065
140,9802,1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",2051,23625,197900,0.41,0.1158,0.559,0.167,0.063
