offense_text,LONGITUDE,LATITUDE
robbery,-76.97878873,38.89795046
robbery,-77.02483385,38.93920789
assault w/dangerous weapon,-77.02483385,38.93920789
homicide,-76.99930883,38.84582977
assault w/dangerous weapon,-77.0327436,38.93281906
robbery,-76.93256261,38.89731134
assault w/dangerous weapon,-76.93656901,38.90322307
robbery,-76.98818739,38.94674086
robbery,-77.01259917,38.82822657
assault w/dangerous weapon,-77.02849962,38.93367596
robbery,-77.0354173,38.92863842
assault w/dangerous weapon,-76.96561184,38.85125679
homicide,-76.91367124,38.8951369
homicide,-76.91367124,38.8951369
assault w/dangerous weapon,-76.93835884,38.88654954
assault w/dangerous weapon,-77.00900511,38.8213084
robbery,-76.93726164,38.88908932
robbery,-77.03195297,38.91864019
robbery,-76.97840535,38.94583863
robbery,-77.00204111,38.92182448
assault w/dangerous weapon,-76.98647682,38.84240578
robbery,-77.01328324,38.91482427
assault w/dangerous weapon,-76.98269359,38.86318773
robbery,-76.94345322,38.90125378
robbery,-76.9437681,38.86741844
robbery,-76.96478738,38.93452992
robbery,-77.03389888,38.91260405
robbery,-76.9496257,38.8944733
robbery,-76.9674457,38.92236947
robbery,-76.97923062,38.84522436
assault w/dangerous weapon,-77.00842864,38.912969
assault w/dangerous weapon,-77.00905302,38.90764277
assault w/dangerous weapon,-76.94622313,38.88185105
robbery,-77.02756821,38.91111934
robbery,-76.98487478,38.9010683
assault w/dangerous weapon,-76.97398264,38.86352843
robbery,-76.94089453,38.90051383
robbery,-76.97511613,38.91728165
robbery,-77.03748805,38.91882772
assault w/dangerous weapon,-77.01621285,38.91850831
robbery,-76.93776504,38.8801893
robbery,-76.97203523,38.86388832
robbery,-76.98679886,38.84507231
robbery,-77.02295885,38.91930892
robbery,-76.98294238,38.88283509
robbery,-77.02323648,38.95741395
assault w/dangerous weapon,-76.92907343,38.881959
robbery,-76.93632255,38.89518748
assault w/dangerous weapon,-76.98728328,38.84164015
robbery,-76.94720947,38.90396705
robbery,-76.9326284,38.876475
assault w/dangerous weapon,-77.04088112,38.92386223
robbery,-77.02446591,38.9762049
robbery,-77.02041961,38.91112081
assault w/dangerous weapon,-77.0005766,38.92396847
assault w/dangerous weapon,-76.93860226,38.91174606
robbery,-76.94089391,38.90125251
assault w/dangerous weapon,-77.03499188,38.90777526
assault w/dangerous weapon,-77.02032617,38.94737027
robbery,-76.95845614,38.89355793
assault w/dangerous weapon,-77.00905128,38.91296895
homicide,-76.97398264,38.86352843
robbery,-76.98843313,38.85417101
assault w/dangerous weapon,-76.93126745,38.87758224
assault w/dangerous weapon,-76.93166487,38.90785961
assault w/dangerous weapon,-77.0082579,38.83246994
homicide,-76.98403062,38.91265292
robbery,-77.02498413,38.90723733
robbery,-76.99087698,38.84282059
robbery,-76.95061418,38.86530455
assault w/dangerous weapon,-77.01603772,38.90890544
assault w/dangerous weapon,-76.95061418,38.86530455
assault w/dangerous weapon,-76.97207732,38.87411287
robbery,-76.97923062,38.84522436
robbery,-76.96574735,38.85695016
assault w/dangerous weapon,-76.97735689,38.8691684
assault w/dangerous weapon,-76.94142038,38.89188408
robbery,-76.98365437,38.8941407
robbery,-77.002779,38.91809501
robbery,-77.02191965,38.91482297
assault w/dangerous weapon,-77.02721418,38.95026052
assault w/dangerous weapon,-76.98231603,38.85239558
robbery,-77.03781364,38.92395335
robbery,-76.98639444,38.91204065
assault w/dangerous weapon,-76.97309604,38.86189771
assault w/dangerous weapon,-76.93580682,38.90466399
robbery,-76.98192361,38.90073457
robbery,-76.99592213,38.8456225
robbery,-77.02473802,38.92895646
assault w/dangerous weapon,-77.09641047,38.91719047
robbery,-76.96675304,38.84977073
homicide,-76.98280827,38.86543985
assault w/dangerous weapon,-76.99239894,38.82919992
robbery,-76.99239894,38.82919992
robbery,-77.03490549,38.96684269
robbery,-77.03156778,38.96021356
assault w/dangerous weapon,-77.02532234,38.91811032
assault w/dangerous weapon,-76.99861805,38.82604719
assault w/dangerous weapon,-76.99204051,38.84181173
assault w/dangerous weapon,-77.04136667,38.90606159
robbery,-77.00802683,38.82605593
robbery,-76.93541531,38.90414129
robbery,-77.02557828,38.92439807
robbery,-77.03273744,38.94452083
robbery,-77.03488074,38.9869941
robbery,-76.9496257,38.8944733
robbery,-76.97944344,38.90620223
robbery,-76.92579333,38.88861416
assault w/dangerous weapon,-76.92366075,38.89957597
assault w/dangerous weapon,-77.05400598,38.9256946
robbery,-77.02243519,38.94088392
robbery,-76.96526585,38.87571454
assault w/dangerous weapon,-76.95448444,38.88546692
assault w/dangerous weapon,-77.02117369,38.96553978
robbery,-77.00819842,38.91627508
sex abuse,-76.98368321,38.86884516
homicide,-76.91825379,38.88975319
robbery,-76.97899698,38.89543716
robbery,-76.97203523,38.86388832
assault w/dangerous weapon,-76.97000339,38.8731935
assault w/dangerous weapon,-77.03938765,38.93417726
assault w/dangerous weapon,-77.0082579,38.83246994
assault w/dangerous weapon,-76.99048577,38.92602198
robbery,-77.02742869,38.96807881
assault w/dangerous weapon,-76.94562634,38.89366076
assault w/dangerous weapon,-77.01016873,38.82519095
robbery,-76.96997656,38.85478029
homicide,-77.01037533,38.82046149
assault w/dangerous weapon,-77.00277884,38.91406829
assault w/dangerous weapon,-76.93553991,38.88107993
robbery,-77.0078449,38.9520831
robbery,-76.99042653,38.93777782
robbery,-76.99090906,38.86230583
assault w/dangerous weapon,-76.98269104,38.92121065
robbery,-77.04423656,38.92323043
robbery,-76.99614093,38.84682964
robbery,-76.98572758,38.90259082
assault w/dangerous weapon,-76.93927414,38.88097383
robbery,-76.95840417,38.92339355
assault w/dangerous weapon,-77.00350568,38.92262618
robbery,-77.00377292,38.96049702
robbery,-77.02092253,38.89612182
assault w/dangerous weapon,-76.97891999,38.84388204
robbery,-76.9327226,38.89878881
robbery,-76.95845614,38.89355793
